Number of Characters,Numbers Only,Lowercase Letters,Upper and Lowercase Letters,"Numbers, Upper and Lowercase Letters","Numbers, Upper and Lowercase Letters, Symbols"
4,Instantly,Instantly,Instantly,Instantly,Instantly
5,Instantly,Instantly,7 minutes,1.4 hours,7 days
6,Instantly,6 minutes,1.4 days,2.4 days,71 days
7,Instantly,4.5 hours,2 months,1 year,1 years
8,Instantly,1.7 days,3.9 years,7.9 years,12 years
9,1.4 hours,1.4 years,28 years,55 years,104 years
10,1 day,6.3 years,203 years,488 years,896 years
11,2.6 days,31 years,1.4k years,3.7k years,7k years
12,1.7 months,164 years,10k years,30k years,54k years
13,1.7 years,839 years,70k years,237k years,524k years
14,5.3 years,4.2k years,547k years,1.7m years,4m years
15,16.8 years,21k years,3.9m years,14.8m years,31m years
16,44 years,109k years,28m years,114m years,306m years
17,167 years,567k years,205m years,916m years,2bn years
18,533 years,2.8m years,1.4bn years,7.2bn years,21bn years
